name,paintings1,nationality,paintings2
Abstract Impressionism,24,French,2379
Baroque,586,Dutch,1360
Byzantine,99,Spanish,1186
Cubism,439,Italian,1087
Early Renaissance,164,Russian,723
Expressionism,276,German,516
High Renaissance,643,Flemish,356
Impressionism,1460,American,205
Neoplasticism,84,Belgian,194
Northern Renaissance,680,Mexican,190
Pop Art,181,Austrian,117
Post-Impressionism,760,,
Primitivism,309,,
Proto-Renaissance,119,,
Romanticism,388,,
Suprematism,126,,
Surrealism,555,,
Symbolism,171,,
